,Product_name,Price,Date,Time
0,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,396",2019-09-21,08:55:11
1,TOMMY HILFIGER Men's Regular fit T-Shirt,799,2019-09-21,08:55:11
2,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,171",2019-09-21,08:55:11
3,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,799,2019-09-21,08:55:11
4,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,799,2019-09-21,08:55:11
5,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,949,2019-09-21,08:55:11
6,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,999",2019-09-21,08:55:11
7,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,799,2019-09-21,08:55:11
8,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,160",2019-09-21,08:55:11
9,Tommy Hilfiger Men's Plain Regular Fit Polo,"1,499",2019-09-21,08:55:11
10,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-21,08:55:11
11,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-21,08:55:11
12,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-21,08:55:11
13,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,"1,299",2019-09-21,08:55:11
14,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-21,08:55:11
15,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,160",2019-09-21,08:55:11
16,DORJE Sacred Alien Mens Round Neck Cotton t Shirt Psychedelic Alien Dragon Illusion Artistic 3D Tattoo Style t Shirt Hand Drawn by me Lama a Deaf Mute Indian Artist.,899,2019-09-21,08:55:11
17,Stitch Studios Combo Pack Men's T-Shirt Henley & Hood Half Styles Navy Blue Black,699,2019-09-21,08:55:11
18,Stitch Studios Men's Henley Cotton T-Shirt(Pack of 2),735,2019-09-21,08:55:11
19,Arrow Sport Men's Solid Regular Fit T-Shirt,"1,023",2019-09-21,08:55:11
20,Tommy Hilfiger Men's Striped Regular Fit T-Shirt,"1,299",2019-09-21,08:55:11
21,TOMMY HILFIGER Men's Solid Regular Fit T-Shirt,799,2019-09-21,08:55:11
22,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-21,08:55:11
23,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,999,2019-09-21,08:55:11
24,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,999,2019-09-21,08:55:11
25,TOMMY HILFIGER Men's Solid Regular Fit Polo,"1,399",2019-09-21,08:55:11
26,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"2,249",2019-09-21,08:55:11
27,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-21,08:55:11
28,TOMMY HILFIGER Men's Solid Slim fit Polo,"2,024",2019-09-21,08:55:11
29,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,999,2019-09-21,08:55:11
30,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-21,08:55:11
31,TOMMY HILFIGER Men's Plain Slim Fit Polo,"1,299",2019-09-21,08:55:11
32,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-21,08:55:11
33,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,099",2019-09-21,08:55:11
34,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,"1,499",2019-09-21,08:55:11
35,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,953",2019-09-21,08:55:11
36,TOMMY HILFIGER Men's Plain Regular fit T-Shirt,"2,529",2019-09-21,08:55:11
37,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"2,999",2019-09-21,08:55:11
38,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"2,024",2019-09-21,08:55:11
39,Tommy Hilfiger Men's Plain Regular Fit Polo,"1,499",2019-09-21,08:55:11
40,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,954",2019-09-21,08:55:11
41,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,"1,299",2019-09-21,08:55:11
42,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,349",2019-09-21,08:55:11
43,TOMMY HILFIGER Men's Solid Regular fit Polo,"2,474",2019-09-21,08:55:11
44,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,558",2019-09-21,08:55:11
45,Tommy Hilfiger Men's Printed Slim Fit Polo,"1,979",2019-09-21,08:55:11
46,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,999,2019-09-21,08:55:11
47,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,999,2019-09-21,08:55:11
48,TOMMY HILFIGER Men's Plain Regular Fit Polo,"3,749",2019-09-21,08:55:11
49,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-21,08:55:11
50,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"2,024",2019-09-21,08:55:11
51,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,349",2019-09-21,08:55:11
52,Stitch Studios Men's Round Neck T-Shirt_1968123031(SS_Longline_SIDEBUTTON_Half(Pack of 1)_),412,2019-09-21,08:55:11
53,Stitch Studios Self Design Men's Henley Multicolor T-Shirt,399,2019-09-21,08:55:11
54,Lee Men's Solid Regular fit T-Shirt,683,2019-09-21,08:55:11
55,Lee Men's Solid Regular fit T-Shirt,979,2019-09-21,08:55:11
56,,549,2019-09-21,08:55:11
0,Arrow Sport Men's Solid Regular Fit T-Shirt,"1,023",2019-09-21,08:55:13
1,Stitch Studios Self Design Men's Henley Multicolor T-Shirt,399,2019-09-21,08:55:13
2,Stitch Studios Men's Round Neck T-Shirt_1968123031(SS_Longline_SIDEBUTTON_Half(Pack of 1)_),412,2019-09-21,08:55:13
3,Arrow Sports Men's Solid Regular Fit T-Shirt,"1,017",2019-09-21,08:55:13
4,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,499",2019-09-21,08:55:13
5,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,171",2019-09-21,08:55:13
6,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,563",2019-09-21,08:55:13
7,TOMMY HILFIGER Men's Plain Slim fit Polo,"2,849",2019-09-21,08:55:13
