,Product_name,Price,Date,Time
0,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,171",2019-09-21,08:32:16
1,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-21,08:32:16
2,TOMMY HILFIGER Men's Regular fit T-Shirt,799,2019-09-21,08:32:16
3,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,799,2019-09-21,08:32:16
4,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,799,2019-09-21,08:32:16
5,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,949,2019-09-21,08:32:16
6,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,999",2019-09-21,08:32:16
7,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,799,2019-09-21,08:32:16
8,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,160",2019-09-21,08:32:16
9,Tommy Hilfiger Men's Plain Regular Fit Polo,"1,499",2019-09-21,08:32:16
10,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-21,08:32:16
11,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-21,08:32:16
12,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-21,08:32:16
13,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,"1,299",2019-09-21,08:32:16
14,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-21,08:32:16
15,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,160",2019-09-21,08:32:16
16,Denim Venim Men's Round Neck T-Shirts in Check Print,399,2019-09-21,08:32:16
17,Denim Venim Men's Cotton Plain T-Shirts,449,2019-09-21,08:32:16
18,Denim Venim Men's Henley Neck T-Shirts in Multiline Print,499,2019-09-21,08:32:16
19,Denim Venim Men's Cotton Slub Plain T-Shirts,399,2019-09-21,08:32:16
20,Tommy Hilfiger Men's Striped Regular Fit T-Shirt,"1,299",2019-09-21,08:32:16
21,TOMMY HILFIGER Men's Solid Regular Fit T-Shirt,799,2019-09-21,08:32:16
22,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-21,08:32:16
23,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,999,2019-09-21,08:32:16
24,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,999,2019-09-21,08:32:16
25,TOMMY HILFIGER Men's Solid Regular Fit Polo,"1,399",2019-09-21,08:32:16
