,Product_name,Price,Date,Time
0,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,396",2019-09-21,10:55:11
1,TOMMY HILFIGER Men's Regular fit T-Shirt,799,2019-09-21,10:55:11
2,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,265",2019-09-21,10:55:11
3,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,799,2019-09-21,10:55:11
4,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,799,2019-09-21,10:55:11
5,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,150",2019-09-21,10:55:11
6,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,949,2019-09-21,10:55:11
7,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,999",2019-09-21,10:55:11
8,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,799,2019-09-21,10:55:11
9,Tommy Hilfiger Men's Plain Regular Fit Polo,"1,499",2019-09-21,10:55:11
10,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-21,10:55:11
11,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,999,2019-09-21,10:55:11
12,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-21,10:55:11
13,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,"1,299",2019-09-21,10:55:11
14,TOMMY HILFIGER Men's Plain Regular Fit Polo,"1,499",2019-09-21,10:55:11
15,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-21,10:55:11
16,DORJE Sacred Alien Mens Round Neck Cotton t Shirt Psychedelic Alien Dragon Illusion Artistic 3D Tattoo Style t Shirt Hand Drawn by me Lama a Deaf Mute Indian Artist.,899,2019-09-21,10:55:11
17,Stitch Studios Men's Henley Cotton T-Shirt(Pack of 2),735,2019-09-21,10:55:11
18,Stitch Studios Combo Pack Men's T-Shirt Henley & Hood Half Styles Navy Blue Black,699,2019-09-21,10:55:11
19,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-21,10:55:11
20,Tommy Hilfiger Men's Striped Regular Fit T-Shirt,"1,299",2019-09-21,10:55:11
21,TOMMY HILFIGER Men's Solid Regular Fit T-Shirt,799,2019-09-21,10:55:11
22,TOMMY HILFIGER Men's Solid Regular Fit Polo,"1,399",2019-09-21,10:55:11
23,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"2,249",2019-09-21,10:55:11
24,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-21,10:55:11
25,TOMMY HILFIGER Men's Solid Slim fit Polo,"2,024",2019-09-21,10:55:11
26,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,999,2019-09-21,10:55:11
27,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,738",2019-09-21,10:55:11
28,TOMMY HILFIGER Men's Plain Slim Fit Polo,"1,299",2019-09-21,10:55:11
29,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-21,10:55:11
30,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,163",2019-09-21,10:55:11
31,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,999,2019-09-21,10:55:11
32,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,099",2019-09-21,10:55:11
33,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,"1,499",2019-09-21,10:55:11
34,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,088",2019-09-21,10:55:11
35,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,999",2019-09-21,10:55:11
36,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,454",2019-09-21,10:55:11
37,TOMMY HILFIGER Men's Plain Regular fit T-Shirt,"2,529",2019-09-21,10:55:11
38,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"2,024",2019-09-21,10:55:11
39,Tommy Hilfiger Men's Plain Regular Fit Polo,"1,499",2019-09-21,10:55:11
40,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,951",2019-09-21,10:55:11
41,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,"1,299",2019-09-21,10:55:11
42,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,349",2019-09-21,10:55:11
43,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"2,999",2019-09-21,10:55:11
44,TOMMY HILFIGER Men's Solid Regular fit Polo,"2,474",2019-09-21,10:55:11
45,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,561",2019-09-21,10:55:11
46,Tommy Hilfiger Men's Printed Slim Fit Polo,"1,979",2019-09-21,10:55:11
47,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,999,2019-09-21,10:55:11
48,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,999,2019-09-21,10:55:11
49,TOMMY HILFIGER Men's Plain Regular Fit Polo,"3,749",2019-09-21,10:55:11
50,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"2,024",2019-09-21,10:55:11
51,Arrow Sport Men's Solid Regular Fit T-Shirt,"1,023",2019-09-21,10:55:11
52,Stitch Studios Men's Round Neck T-Shirt_1968123031(SS_Longline_SIDEBUTTON_Half(Pack of 1)_),412,2019-09-21,10:55:11
53,Stitch Studios Self Design Men's Henley Multicolor T-Shirt,399,2019-09-21,10:55:11
54,Lee Men's Solid Regular fit T-Shirt,683,2019-09-21,10:55:11
55,,549,2019-09-21,10:55:11
0,Arrow Sport Men's Solid Regular Fit T-Shirt,"1,023",2019-09-21,10:55:13
1,Stitch Studios Self Design Men's Henley Multicolor T-Shirt,399,2019-09-21,10:55:13
2,Stitch Studios Men's Round Neck T-Shirt_1968123031(SS_Longline_SIDEBUTTON_Half(Pack of 1)_),412,2019-09-21,10:55:13
3,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,499",2019-09-21,10:55:13
4,TOMMY HILFIGER Men's Solid Slim fit Polo,"1,999",2019-09-21,10:55:13
5,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,269",2019-09-21,10:55:13
6,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,563",2019-09-21,10:55:13
7,TOMMY HILFIGER Men's Plain Slim fit Polo,"2,849",2019-09-21,10:55:13
8,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,163",2019-09-21,10:55:13
9,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,895,2019-09-21,10:55:13
10,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,454",2019-09-21,10:55:13
11,TOMMY HILFIGER Men's Polo,"1,299",2019-09-21,10:55:13
12,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,923,2019-09-21,10:55:13
13,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,163",2019-09-21,10:55:13
14,TOMMY HILFIGER Men's T-Shirt,879,2019-09-21,10:55:13
15,TOMMY HILFIGER Men's Solid Regular fit Polo,"2,249",2019-09-21,10:55:13
16,TOMMY HILFIGER Men's Solid Slim fit Polo,"2,474",2019-09-21,10:55:13
17,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,199",2019-09-21,10:55:13
18,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,349",2019-09-21,10:55:13
19,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-21,10:55:13
20,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,349",2019-09-21,10:55:13
21,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,165",2019-09-21,10:55:13
22,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,"1,149",2019-09-21,10:55:13
23,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,999,2019-09-21,10:55:13
24,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,499",2019-09-21,10:55:13
25,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,499",2019-09-21,10:55:13
26,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,349",2019-09-21,10:55:13
27,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,799",2019-09-21,10:55:13
28,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,799",2019-09-21,10:55:13
29,Tommy Hilfiger Men's Plain Slim Fit T-Shirt,999,2019-09-21,10:55:13
30,TOMMY HILFIGER Men's Solid Regular Fit T-Shirt,"1,410",2019-09-21,10:55:13
31,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,499",2019-09-21,10:55:13
32,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,"1,499",2019-09-21,10:55:13
33,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,199",2019-09-21,10:55:13
34,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-21,10:55:13
35,TOMMY HILFIGER Men's Printed Regular Fit Polo,"1,799",2019-09-21,10:55:13
36,TOMMY HILFIGER Men's Striped Slim fit T-Shirt,"1,499",2019-09-21,10:55:13
37,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,799",2019-09-21,10:55:13
38,Tommy Hilfiger Men's Plain Regular Fit Polo,"1,199",2019-09-21,10:55:13
39,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,307",2019-09-21,10:55:13
40,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,999",2019-09-21,10:55:13
41,TOMMY HILFIGER Men's Printed Loose fit T-Shirt,"1,499",2019-09-21,10:55:13
