,Product_name,Price,Date,Time
0,TOMMY HILFIGER Men's Plain Regular Fit Polo,"3,749",2019-09-20,17:26:23
1,TOMMY HILFIGER Men's Casual Shirt,"2,249",2019-09-20,17:26:23
2,Tommy Hilfiger 29 Ltrs Grey Laptop Backpack (TH/ANDROIDLAP07),"2,275",2019-09-20,17:26:23
3,U.S. Polo Assn. Men's Polo,734,2019-09-20,17:26:23
4,Katso Men's Cotton T-Shirt (Pack Of 1) (Katso-Hood-Full),290,2019-09-20,17:26:23
5,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,171",2019-09-20,17:26:23
6,TOMMY HILFIGER Men's Regular fit T-Shirt,799,2019-09-20,17:26:23
7,Tommy Hilfiger Men's Striped Regular Fit T-Shirt,"1,299",2019-09-20,17:26:23
8,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,799,2019-09-20,17:26:23
9,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,160",2019-09-20,17:26:23
10,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,999",2019-09-20,17:26:23
11,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,799,2019-09-20,17:26:23
12,Tommy Hilfiger Men's Plain Regular Fit Polo,"1,499",2019-09-20,17:26:23
13,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,"1,299",2019-09-20,17:26:23
14,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,17:26:23
15,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-20,17:26:23
16,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-20,17:26:23
17,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-20,17:26:23
18,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,17:26:23
19,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,17:26:23
20,TOMMY HILFIGER Men's Solid Regular Fit T-Shirt,799,2019-09-20,17:26:23
21,Arrow Sport Men's Solid Regular Fit T-Shirt,"1,023",2019-09-20,17:26:23
22,Arrow Sports Men's Polo,"1,253",2019-09-20,17:26:23
23,Zeroline Garments Casual Half Sleeves Polo Cotton T Shirt for Men,599,2019-09-20,17:26:23
24,Arrow Sports Men's Solid Regular Fit T-Shirt,879,2019-09-20,17:26:23
25,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-20,17:26:23
26,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,160",2019-09-20,17:26:23
27,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-20,17:26:23
28,TOMMY HILFIGER Men's Solid Slim fit Polo,"2,024",2019-09-20,17:26:23
29,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,999,2019-09-20,17:26:23
30,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,099",2019-09-20,17:26:23
31,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-20,17:26:23
32,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"2,249",2019-09-20,17:26:23
33,TOMMY HILFIGER Men's Solid Regular Fit Polo,"1,399",2019-09-20,17:26:23
34,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,160",2019-09-20,17:26:23
35,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,999,2019-09-20,17:26:23
36,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,954",2019-09-20,17:26:23
37,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,558",2019-09-20,17:26:23
38,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,953",2019-09-20,17:26:23
39,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,999,2019-09-20,17:26:23
40,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,17:26:23
41,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,171",2019-09-20,17:26:23
42,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"2,999",2019-09-20,17:26:23
43,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"2,024",2019-09-20,17:26:23
44,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,"1,499",2019-09-20,17:26:23
45,TOMMY HILFIGER Men's Plain Slim Fit Polo,"1,299",2019-09-20,17:26:23
46,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,"1,299",2019-09-20,17:26:23
47,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,349",2019-09-20,17:26:23
48,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,17:26:23
49,TOMMY HILFIGER Men's Plain Regular fit T-Shirt,"2,529",2019-09-20,17:26:23
50,TOMMY HILFIGER Men's Solid Regular fit Polo,"2,474",2019-09-20,17:26:23
51,Tommy Hilfiger Men's Plain Regular Fit Polo,"1,499",2019-09-20,17:26:23
52,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,170",2019-09-20,17:26:23
53,TOMMY HILFIGER Men's Plain Slim fit Polo,"2,849",2019-09-20,17:26:23
54,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,895,2019-09-20,17:26:23
55,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,999,2019-09-20,17:26:23
56,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,349",2019-09-20,17:26:23
57,Flying Machine Men's Printed Regular fit T-Shirt,779,2019-09-20,17:26:23
58,Broyz Rajput Men Round Neck White T-Shirt,199,2019-09-20,17:26:23
59,Arrow Sports Men's Printed Regular Fit T-Shirt,539,2019-09-20,17:26:23
0,Mufti Men's Loose fit Polo,750,2019-09-20,17:26:28
1,Zeroline Garments Casual Half Sleeves Polo Cotton T Shirt for Men,599,2019-09-20,17:26:28
2,Arrow Sports Polo,779,2019-09-20,17:26:28
3,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,349",2019-09-20,17:26:28
4,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,499",2019-09-20,17:26:28
5,TOMMY HILFIGER Men's Plain Regular Fit Polo,"3,749",2019-09-20,17:26:28
6,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-20,17:26:28
7,TOMMY HILFIGER Men's Plain Regular Fit Polo,"1,499",2019-09-20,17:26:28
8,Tommy Hilfiger Men's Printed Slim Fit Polo,"1,979",2019-09-20,17:26:28
9,TOMMY HILFIGER Men's Polo,"1,299",2019-09-20,17:26:28
10,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"2,024",2019-09-20,17:26:28
11,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,999,2019-09-20,17:26:28
12,TOMMY HILFIGER Men's Solid Regular fit Polo,"2,249",2019-09-20,17:26:28
13,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,999,2019-09-20,17:26:28
14,TOMMY HILFIGER Men's Solid Slim fit Polo,"2,474",2019-09-20,17:26:28
15,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,199",2019-09-20,17:26:28
16,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,923,2019-09-20,17:26:28
17,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,160",2019-09-20,17:26:28
18,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,17:26:28
19,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,349",2019-09-20,17:26:28
20,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,"1,149",2019-09-20,17:26:28
21,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,799",2019-09-20,17:26:28
22,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,499",2019-09-20,17:26:28
23,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,499",2019-09-20,17:26:28
24,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,"1,499",2019-09-20,17:26:28
25,Tommy Hilfiger Men's Plain Slim Fit T-Shirt,999,2019-09-20,17:26:28
26,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,349",2019-09-20,17:26:28
27,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,799",2019-09-20,17:26:28
