,Product_name,Price,Date,Time
0,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,171",2019-09-21,08:46:27
1,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,396",2019-09-21,08:46:27
2,TOMMY HILFIGER Men's Regular fit T-Shirt,799,2019-09-21,08:46:27
3,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,799,2019-09-21,08:46:27
4,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,799,2019-09-21,08:46:27
5,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,949,2019-09-21,08:46:27
6,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,999",2019-09-21,08:46:27
7,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,799,2019-09-21,08:46:27
8,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,160",2019-09-21,08:46:27
9,Tommy Hilfiger Men's Plain Regular Fit Polo,"1,499",2019-09-21,08:46:27
10,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-21,08:46:27
11,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-21,08:46:27
12,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-21,08:46:27
13,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,"1,299",2019-09-21,08:46:27
14,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-21,08:46:27
15,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,160",2019-09-21,08:46:27
16,DORJE Sacred Alien Mens Round Neck Cotton t Shirt Psychedelic Alien Dragon Illusion Artistic 3D Tattoo Style t Shirt Hand Drawn by me Lama a Deaf Mute Indian Artist.,899,2019-09-21,08:46:27
17,Stitch Studios Men's Henley Cotton T-Shirt(Pack of 2),735,2019-09-21,08:46:27
18,Stitch Studios Combo Pack Men's T-Shirt Henley & Hood Half Styles Navy Blue Black,699,2019-09-21,08:46:27
19,Tommy Hilfiger Men's Striped Regular Fit T-Shirt,"1,299",2019-09-21,08:46:27
20,TOMMY HILFIGER Men's Solid Regular Fit T-Shirt,799,2019-09-21,08:46:27
21,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-21,08:46:27
22,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,999,2019-09-21,08:46:27
23,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,999,2019-09-21,08:46:27
24,TOMMY HILFIGER Men's Solid Regular Fit Polo,"1,399",2019-09-21,08:46:27
25,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"2,249",2019-09-21,08:46:27
26,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-21,08:46:27
