,Product_name,Price,Date,Time
0,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,396",2019-09-21,11:55:15
1,TOMMY HILFIGER Men's Regular fit T-Shirt,799,2019-09-21,11:55:15
2,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,265",2019-09-21,11:55:15
3,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,799,2019-09-21,11:55:15
4,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,799,2019-09-21,11:55:15
5,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,150",2019-09-21,11:55:15
6,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,949,2019-09-21,11:55:15
7,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,999",2019-09-21,11:55:15
8,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,799,2019-09-21,11:55:15
9,Tommy Hilfiger Men's Plain Regular Fit Polo,"1,499",2019-09-21,11:55:15
10,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-21,11:55:15
11,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,999,2019-09-21,11:55:15
12,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-21,11:55:15
13,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,"1,299",2019-09-21,11:55:15
14,TOMMY HILFIGER Men's Plain Regular Fit Polo,"1,499",2019-09-21,11:55:15
15,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-21,11:55:15
16,Arrow Sports Men's Solid Regular Fit T-Shirt,"1,164",2019-09-21,11:55:15
17,Arrow Sport Men's Solid Regular Fit T-Shirt,"1,023",2019-09-21,11:55:15
18,Lee Men's Solid Regular fit T-Shirt,683,2019-09-21,11:55:15
19,Lee Men's Solid Regular fit T-Shirt,979,2019-09-21,11:55:15
20,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-21,11:55:15
21,Tommy Hilfiger Men's Striped Regular Fit T-Shirt,"1,299",2019-09-21,11:55:15
22,TOMMY HILFIGER Men's Solid Regular Fit T-Shirt,799,2019-09-21,11:55:15
23,TOMMY HILFIGER Men's Solid Regular Fit Polo,"1,399",2019-09-21,11:55:15
24,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"2,249",2019-09-21,11:55:15
25,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-21,11:55:15
26,TOMMY HILFIGER Men's Solid Slim fit Polo,"2,024",2019-09-21,11:55:15
27,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,999,2019-09-21,11:55:15
28,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,738",2019-09-21,11:55:15
29,TOMMY HILFIGER Men's Plain Slim Fit Polo,"1,299",2019-09-21,11:55:15
30,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-21,11:55:15
31,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,163",2019-09-21,11:55:15
32,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,999,2019-09-21,11:55:15
33,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,099",2019-09-21,11:55:15
34,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,"1,499",2019-09-21,11:55:15
35,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,088",2019-09-21,11:55:15
